Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
3,Random Forest,0.67807386629266,35,,,,,,,,,20.0,4.0,10.0,500.0,,,,
3,Random Forest,0.39317438055165965,104,,,,,,,,,30.0,1.0,2.0,100.0,,,,
3,Random Forest,0.38889668069191213,105,,,,,,,,,30.0,1.0,2.0,200.0,,,,
3,Random Forest,0.39322113136979897,103,,,,,,,,,30.0,1.0,2.0,500.0,,,,
3,Random Forest,0.45575035063113606,97,,,,,,,,,30.0,1.0,5.0,100.0,,,,
3,Random Forest,0.46005142589995324,95,,,,,,,,,30.0,1.0,5.0,200.0,,,,
3,Random Forest,0.45792426367461425,96,,,,,,,,,30.0,1.0,5.0,500.0,,,,
3,Random Forest,0.5679756895745676,67,,,,,,,,,30.0,1.0,10.0,100.0,,,,
3,Random Forest,0.56575502571295,69,,,,,,,,,30.0,1.0,10.0,200.0,,,,
3,Random Forest,0.5593501636278634,71,,,,,,,,,30.0,1.0,10.0,500.0,,,,
3,Random Forest,0.5183029453015429,87,,,,,,,,,30.0,2.0,2.0,100.0,,,,
3,Random Forest,0.52260402057036,85,,,,,,,,,30.0,2.0,2.0,200.0,,,,
3,Random Forest,0.5182561944834034,89,,,,,,,,,30.0,2.0,2.0,500.0,,,,
3,Random Forest,0.5356708742402991,79,,,,,,,,,30.0,2.0,5.0,100.0,,,,
3,Random Forest,0.533426834969612,81,,,,,,,,,30.0,2.0,5.0,200.0,,,,
3,Random Forest,0.5420289855072464,75,,,,,,,,,30.0,2.0,5.0,500.0,,,,
3,Random Forest,0.6219261337073398,56,,,,,,,,,30.0,2.0,10.0,100.0,,,,
3,Random Forest,0.615474520804114,60,,,,,,,,,30.0,2.0,10.0,200.0,,,,
3,Random Forest,0.6154511453950444,62,,,,,,,,,30.0,2.0,10.0,500.0,,,,
3,Random Forest,0.6715521271622252,43,,,,,,,,,30.0,4.0,2.0,100.0,,,,
3,Random Forest,0.6780972417017297,31,,,,,,,,,30.0,4.0,2.0,200.0,,,,
3,Random Forest,0.6694249649368864,47,,,,,,,,,30.0,4.0,2.0,500.0,,,,
3,Random Forest,0.6715521271622252,43,,,,,,,,,30.0,4.0,5.0,100.0,,,,
3,Random Forest,0.6780972417017297,31,,,,,,,,,30.0,4.0,5.0,200.0,,,,
3,Random Forest,0.6694249649368864,47,,,,,,,,,30.0,4.0,5.0,500.0,,,,
3,Random Forest,0.6802010285179991,29,,,,,,,,,30.0,4.0,10.0,100.0,,,,
3,Random Forest,0.6737260402057036,40,,,,,,,,,30.0,4.0,10.0,200.0,,,,
3,Random Forest,0.67807386629266,35,,,,,,,,,30.0,4.0,10.0,500.0,,,,
4,XGBoost,0.9243571762505844,3,,,,,,,,,3.0,,,100.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.9308555399719495,1,,,,0.8836123005060335,0.9663172665587342,0.8836123005060335,0.9135457531865707,0.9074134199134198,3.0,,,100.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.9221598877980364,4,,,,,,,,,3.0,,,100.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.9200093501636278,6,,,,,,,,,3.0,,,200.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.9200093501636278,6,,,,,,,,,3.0,,,200.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.9178588125292192,11,,,,,,,,,3.0,,,200.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.9048620850864889,21,,,,,,,,,3.0,,,500.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.9070359981299673,19,,,,,,,,,3.0,,,500.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.9048620850864889,21,,,,,,,,,3.0,,,500.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.8595371669004207,39,,,,,,,,,6.0,,,100.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.86164095371669,38,,,,,,,,,6.0,,,100.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.8638148667601684,37,,,,,,,,,6.0,,,100.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.8573398784478728,40,,,,,,,,,6.0,,,200.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.8508415147265078,42,,,,,,,,,6.0,,,200.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.8443431510051426,46,,,,,,,,,6.0,,,200.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.8292426367461431,63,,,,,,,,,6.0,,,500.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.8184431977559609,73,,,,,,,,,6.0,,,500.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.8033894343151007,80,,,,,,,,,6.0,,,500.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.7666900420757363,82,,,,,,,,,10.0,,,100.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.7645161290322582,84,,,,,,,,,10.0,,,100.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.7494156147732586,94,,,,,,,,,10.0,,,100.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.7472417017297804,95,,,,,,,,,10.0,,,200.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.7342917251051894,109,,,,,,,,,10.0,,,200.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.7148433847592333,119,,,,,,,,,10.0,,,200.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.7083450210378682,123,,,,,,,,,10.0,,,500.0,0.7,0.01,21.19222462203024,0.7
4,XGBoost,0.6867227676484339,132,,,,,,,,,10.0,,,500.0,0.7,0.01,21.19222462203024,0.8
4,XGBoost,0.6651005142589994,139,,,,,,,,,10.0,,,500.0,0.7,0.01,21.19222462203024,1.0
4,XGBoost,0.8745909303412811,35,,,,,,,,,3.0,,,100.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.887540906965872,30,,,,,,,,,3.0,,,100.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.8896680691912108,29,,,,,,,,,3.0,,,100.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.8269985974754558,66,,,,,,,,,3.0,,,200.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.8334735857877513,57,,,,,,,,,3.0,,,200.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.8399485741000469,48,,,,,,,,,3.0,,,200.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.7105189340813464,122,,,,,,,,,3.0,,,500.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.7126227208976157,121,,,,,,,,,3.0,,,500.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.7600748013090228,88,,,,,,,,,3.0,,,500.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.7384992987377279,104,,,,,,,,,6.0,,,100.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.7342215988779804,110,,,,,,,,,6.0,,,100.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.7428237494156148,98,,,,,,,,,6.0,,,100.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.6435951379149134,152,,,,,,,,,6.0,,,200.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.6370266479663395,161,,,,,,,,,6.0,,,200.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.671575502571295,137,,,,,,,,,6.0,,,200.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.5875642823749415,225,,,,,,,,,6.0,,,500.0,0.7,0.1,21.19222462203024,0.7
